3.520e+16 -0.700 17069.79
5.060e+04 2.670 6290.63
1.170e+09 1.300 3635.28
7.600e+00 3.840 12779.64
1.300e+18 -1.000 0.00
4.000e+22 -2.000 0.00
6.170e+15 -0.500 0.00
4.710e+18 -1.000 0.00
8.000e+15 0.000 0.00
4.650e+12 0.440 0.00
7.080e+13 0.000 294.93
1.660e+13 0.000 822.90
3.100e+13 0.000 1720.84
2.000e+13 0.000 0.00
2.890e+13 0.000 -497.13
7.400e+13 -0.370 0.00
3.020e+12 0.000 1386.23
2.300e+13 0.000 7950.05
1.000e+13 0.000 3585.09
7.080e+12 0.000 1434.03
9.630e+06 2.000 3991.40
1.800e+11 0.000 2384.08
4.400e+06 1.500 -740.92
2.000e+13 0.000 22944.55
1.000e+12 0.000 47700.05
1.860e+17 -1.000 17000.48
5.000e+13 0.000 0.00
3.000e+13 0.000 0.00
3.000e+13 0.000 0.00
3.000e+13 0.000 0.00
7.580e+12 0.000 409.89
5.000e+13 0.000 0.00
1.090e+12 0.480 -260.04
5.740e+07 1.900 2748.57
3.500e+13 0.000 3513.38
3.900e+10 0.890 406.31
6.000e+13 0.000 40674.00
4.110e+04 2.500 10210.33
1.300e+04 3.000 8037.76
1.600e+07 1.830 2782.03
1.900e+09 1.440 8675.91
3.980e+13 0.000 56890.54
9.030e+12 0.000 24641.49
1.800e+14 0.000 15105.16
1.550e+14 0.000 13479.92
4.000e+13 0.000 2502.39
8.430e+13 0.000 0.00
4.220e+13 0.000 0.00
5.000e+12 0.000 0.00
3.300e+11 0.000 8941.20
1.100e+13 0.000 27820.03
1.000e+14 0.000 32002.87
3.160e+13 0.000 14698.85
1.270e+16 -0.630 382.89
1.810e+13 0.000 0.00
3.000e+13 0.000 0.00
3.130e+13 0.000 0.00
3.000e+12 0.000 0.00
6.000e+12 0.000 0.00
6.020e+12 0.000 -1787.76
2.500e+13 0.000 0.00
1.130e+07 2.000 2999.52
8.000e+13 0.000 0.00
4.000e+13 0.000 0.00
2.630e+12 0.000 1491.40
6.580e+12 0.000 1491.40
1.000e+14 0.000 0.00
4.000e+13 0.000 0.00
1.770e+11 0.760 -478.01
1.170e+15 -0.750 0.00
4.800e+01 3.220 -3226.58
2.000e+13 0.000 0.00
1.600e+13 0.000 0.00
5.000e+12 0.000 0.00
1.000e+13 0.000 0.00
4.280e-13 7.600 -3537.28
7.780e+13 0.000 13513.38
5.400e+02 3.500 5210.33
1.400e+00 4.300 2772.47
2.200e+07 1.900 1123.33
5.500e-01 4.000 8293.50
8.850e+20 -1.230 102222.75
1.320e+13 0.000 20469.89
3.000e+13 0.000 0.00
3.060e+13 0.000 0.00
4.240e+13 0.000 0.00
7.500e+14 -1.000 4799.95
2.000e+12 0.000 0.00
4.000e+34 -7.200 23000.00
7.500e+05 1.300 -5799.95
1.000e+15 0.000 43000.00
1.110e+10 1.037 36768.64
4.490e+07 2.120 13360.42
5.530e+05 2.310 2963.67
2.250e+06 2.080 0.00
1.210e+06 2.080 0.00
5.010e+14 0.000 64700.05
4.220e+13 0.000 57623.09
2.230e+12 0.000 17189.29
4.000e+12 0.000 17007.65
2.600e+17 0.000 96568.12
3.500e+16 0.000 71532.03
4.000e+13 0.000 0.00
6.380e+09 1.000 37626.67
1.700e+29 -5.312 6503.11
7.000e+14 -0.611 5262.43
5.190e+15 -1.260 3312.62
