Structure ID	smiles	electronic_energy	300K	400K	500K	600K	700K	800K
1	A	-572.6546359	0.130831	0.114449	0.096034	0.075704	0.05358	0.029778
2	B	-76.42297737	0.003836	-0.003547	-0.011258	-0.019238	-0.027448	-0.035861
3	C	-248.0966007	0.051733	0.044078	0.0355435	0.026184	0.0160545	0.005207
4	D	-496.2052015	0.104026	0.088926	0.07208	0.053591	0.033566	0.012107
5	E	-496.2041419	0.104043	0.088886	0.071984	0.053439	0.033355	0.011835
6	F	-572.6376661	0.12436	0.106383	0.086288	0.064229	0.040345	0.014764
